type,problem,answer,time
d,1134,70,63181
d,1135,71,62290
d,1136,72,58922
d,1137,73,59568
d,1138,70,63249
d,1139,71,60430
d,1140,72,61917
d,1141,69,64354
d,1142,70,59503
d,1143,71,67424
d,1144,70,60621
d,1145,71,62750
d,1146,72,63057
d,1147,73,63540
d,1148,70,62693
d,1149,71,84288
d,1150,70,75678
d,1151,71,66907
d,1152,72,64033
d,1153,73,61935
d,1154,74,60508
d,1155,75,61630
d,1156,69,63139
d,1157,70,67591
d,1158,70,71345
d,1159,71,66997
d,1160,72,60476
d,1161,75,61169
d,1162,76,62203
d,1163,70,59902
d,1164,70,63183
d,1165,71,62902
d,1166,72,62900
d,1167,71,62026
d,1168,76,62713
d,1169,77,66098
d,1170,71,64370
d,1171,75,71953
d,1172,76,71478
d,1173,70,73179
d,1174,71,70967
d,1175,77,79164
d,1176,78,72026
d,1177,75,64691
d,1178,76,67206
d,1179,70,65516
d,1180,71,61481
d,1181,71,62150
d,1182,72,63408
d,1183,73,63129
d,1184,76,62376
d,1185,77,58211
d,1186,71,60868
d,1187,71,60018
d,1188,76,58483
d,1189,77,59171
d,1190,71,62250
d,1191,75,61690
d,1192,76,70272
d,1193,70,66894
d,1194,76,66279
d,1195,77,62432
d,1196,71,58846
d,1197,72,59541
d,1198,76,58827
d,1199,77,59459
d,1200,76,60098
d,1201,77,59596
d,1202,71,60434
d,1203,72,89523
d,1204,72,76873
d,1205,77,61212
d,1206,75,65166
d,1207,76,63408
d,1208,76,64076
d,1209,77,63298
d,1210,71,64527
d,1211,77,64582
d,1212,78,62071
d,1213,76,62185
d,1214,76,63367
d,1215,77,62270
d,1216,71,71452
d,1217,77,65648
d,1218,78,68634
d,1219,72,64050
d,1220,77,63148
d,1221,77,63052
d,1222,78,63638
d,1223,76,63486
d,1224,77,63218
d,1225,77,66527
d,1226,78,65044
d,1227,78,64862
d,1228,76,63601
d,1229,76,63450
d,1230,77,68966
d,1231,77,70435
d,1232,78,66773
d,1233,72,65673
d,1234,78,64246
d,1235,77,65999
d,1236,77,63732
d,1237,77,65060
d,1238,78,63761
d,1239,72,63387
d,1240,77,67750
d,1241,78,66736
d,1242,78,65003
d,1243,76,65079
d,1244,77,66774
d,1245,77,65639
