type,problem,answer,time
d,818,52,46970
d,819,53,40800
d,820,47,42610
d,821,51,45280
d,822,52,47490
d,823,46,45080
d,824,47,33070
d,825,53,31610
d,826,54,31680
d,827,51,33000
d,828,52,50650
d,829,46,43930
d,830,47,40710
d,831,47,41130
d,832,48,41880
d,833,49,48070
d,834,52,42110
d,835,53,47150
d,836,47,47310
d,837,47,46480
d,838,52,46330
d,839,53,40050
d,840,47,52890
d,841,51,47550
d,842,52,44430
d,843,46,46280
d,844,52,51150
d,845,53,39980
d,846,47,43830
d,847,48,39430
d,848,52,48720
d,849,53,43760
d,850,52,40520
d,851,53,58040
d,852,47,41010
d,853,48,50110
d,854,48,48760
d,855,53,64530
d,856,51,50590
d,857,52,43800
d,858,52,43570
d,859,53,40520
d,860,47,48350
d,861,53,51080
d,862,54,40380
d,863,52,45080
d,864,52,54310
d,865,53,44870
d,866,47,40590
d,867,53,40280
d,868,54,40860
d,869,48,84190
d,870,53,64160
d,871,53,52580
d,872,54,44850
d,873,52,45120
d,874,53,55020
d,875,53,41510
d,876,54,48770
d,877,54,46570
d,878,52,49840
d,879,52,53820
d,880,53,58750
d,881,53,49190
d,882,54,52280
d,883,48,52660
d,884,54,53000
d,885,53,61310
d,886,53,53300
d,887,53,45650
d,888,54,63350
d,889,48,56960
d,890,53,46780
d,891,54,59410
d,892,54,56400
d,893,52,49190
d,894,53,54580
d,895,53,65360
d,896,53,55790
d,897,54,53980
d,898,54,49480
d,899,55,47810
d,900,53,65950
d,901,53,72040
d,902,53,73460
d,903,54,44870
d,904,54,78740
d,905,55,54010
d,906,49,61810
d,907,54,46150
d,908,52,48220
d,909,53,61800
d,910,53,45990
d,911,54,50570
d,912,54,52250
d,913,54,44000
d,914,55,43570
d,915,53,47190
d,916,53,46330
d,917,54,48910
d,918,54,40590
d,919,54,46070
d,920,55,35380
d,921,55,35640
d,922,54,40120
d,923,54,45980
d,924,54,49740
d,925,53,47790
d,926,54,49340
d,927,54,48220
d,928,55,51690
d,929,55,49980
d,930,53,41880
d,931,53,48200
d,932,54,51730
d,933,54,50830
d,934,55,55320
d,935,55,58650
d,936,55,51290
d,937,54,43970
d,938,54,43870
d,939,54,48480
d,940,55,57390
d,941,55,90200
d,942,54,84270
d,943,55,56410
d,944,55,68070
d,945,53,53370
d,946,54,50750
d,947,54,50080
d,948,54,53060
d,949,55,51820
d,950,55,84490
d,951,56,89420
d,952,57,49070
d,953,58,49290
d,954,59,61650
d,955,60,53540
d,956,61,55670
d,957,62,46970
d,958,63,52010
d,959,64,52680
d,960,65,54940
d,961,66,50340
d,962,54,52800
d,963,55,54130
d,964,63,61000
d,965,64,52590
d,966,65,57280
d,967,66,54640
d,968,57,46210
d,969,58,47950
d,970,59,49660
d,971,64,52050
d,972,65,48870
d,973,66,49730
d,974,63,52310
d,975,64,49510
d,976,65,47000
d,977,66,45720
d,978,65,50450
d,979,66,51740
d,980,63,51250
d,981,64,47580
d,982,65,55960
d,983,66,55290
d,984,67,52030
d,985,58,58100
d,986,59,43270
d,987,64,53830
d,988,57,54750
d,989,58,54310
d,990,59,52600
d,991,64,49350
d,992,65,48200
d,993,66,57940
d,994,63,46020
d,995,64,52150
d,996,65,65660
d,997,64,59230
d,998,65,59080
d,999,66,49310
d,1000,67,52160
d,1001,64,58410
d,1002,65,52160
d,1003,57,49910
d,1004,58,52570
d,1005,58,49260
d,1006,59,46070
d,1007,60,40710
d,1008,65,38660
d,1009,63,44950
d,1010,64,75440
d,1011,64,55750
d,1012,65,57330
d,1013,66,55090
d,1014,65,50860
d,1015,66,51550
d,1016,64,60510
d,1017,64,59010
d,1018,65,46680
d,1019,66,59630
d,1020,58,54610
d,1021,59,60730
d,1022,59,68140
d,1023,65,57160
d,1024,65,55300
d,1025,58,66600
d,1026,64,66820
d,1027,65,59150
d,1028,65,65240
d,1029,66,54520
d,1030,66,52900
d,1031,64,59240
d,1032,64,56690
d,1033,65,61270
d,1034,65,61630
d,1035,66,87510
d,1036,67,78100
d,1037,59,62680
d,1038,65,111430
d,1039,65,63780
d,1040,58,72300
d,1041,59,57250
d,1042,59,57530
d,1043,65,58690
d,1044,66,54220
d,1045,66,49390
d,1046,64,49210
d,1047,65,68320
d,1048,65,49100
d,1049,65,78760
d,1050,66,66320
d,1051,66,87030
d,1052,67,99710
d,1053,65,62950
d,1054,65,60350
d,1055,58,58870
d,1056,59,59760
d,1057,59,57950
d,1058,60,59650
d,1059,60,56720
d,1060,66,66080
d,1061,64,61720
d,1062,65,77900
d,1063,65,75990
d,1064,66,84460
d,1065,66,67340
d,1066,66,66160
d,1067,67,81010
d,1068,65,71360
d,1069,65,95870
d,1070,66,64900
d,1071,66,84270
d,1072,59,75580
d,1073,60,64230
d,1074,60,107740
d,1075,66,51700
d,1076,66,62280
d,1077,59,51790
d,1078,65,65560
d,1079,66,78970
d,1080,66,54960
d,1081,67,65200
d,1082,67,77320
d,1083,65,79080
d,1084,65,85580
d,1085,66,80730
d,1086,66,79290
d,1087,67,76930
d,1088,67,74180
d,1089,60,72140
d,1090,66,70880
d,1091,66,83280
d,1092,59,54210
d,1093,60,71450
d,1094,60,63530
d,1095,66,53240
d,1096,67,52630
d,1097,67,60180
d,1098,65,62140
d,1099,66,56360
d,1100,66,64820
d,1101,66,66240
d,1102,67,61940
d,1103,67,72390
d,1104,68,59100
d,1105,69,50360
d,1106,70,57650
d,1107,71,55070
d,1108,72,47000
d,1109,60,62640
d,1110,61,54410
d,1111,69,42750
d,1112,70,43000
d,1113,71,53600
d,1114,72,60790
d,1115,66,54740
d,1116,67,56770
d,1117,67,56810
d,1118,70,58620
d,1119,71,56350
d,1120,72,64130
