type,problem,answer,time,,type,problem,answer,time,,,,,,,,,,type,problem,answer,time,,type,problem,answer,time
d,289,10,9,,d,289,10,9,,,,,,,,,,,,,,,,,,
d,290,11,8,,d,290,11,8,,,,,,,,,,,,,,,,,,
d,291,16,8,,d,291,16,8,,,,,,,,,,,,,,,,,,
d,292,17,8,,d,292,17,8,,,,,,,,,,,,,,,,,,
d,293,18,9,,d,293,18,9,,,,,,,,,,,,,,,,,,
d,294,15,8,,d,294,15,8,,,,,,,,,,,,,,,,,,
d,295,16,8,,d,295,16,8,,,,,,,,,,,,,,,,,,
d,296,17,8,,d,296,17,8,,,,,,,,,,,,,,,,,,
d,297,16,10,,d,297,16,10,,,,,,,,,,,,,,,,,,
d,298,17,8,,d,298,17,8,,,,,,,,,,,,,,,,,,
d,299,18,9,,d,299,18,9,,,,,,,,,,,,,,,,,,
d,300,19,9,,d,300,19,9,,,,,,,,,,,,,,,,,,
d,301,16,9,,d,301,16,9,,,,,,,,,,,,,,,,,,
d,302,17,9,,d,302,17,9,,,,,,,,,,,,,,,,,,
d,303,9,8,,d,303,9,8,,,,,,,,,,,,,,,,,,
d,304,10,9,,d,304,10,9,,,,,,,,,,,,,,,,,,
d,305,10,9,,d,305,10,9,,,,,,,,,,,,,,,,,,
d,306,11,9,,d,306,11,9,,,,,,,,,,,,,,,,,,
d,307,12,9,,d,307,12,9,,,,,,,,,,,,,,,,,,
d,308,17,9,,d,308,17,9,,,,,,,,,,,,,,,,,,
d,309,15,9,,d,309,15,9,,,,,,,,,,,,,,,,,,
d,310,16,9,,d,310,16,9,,,,,,,,,,,,,,,,,,
d,311,16,9,,d,311,16,9,,,,,,,,,,,,,,,,,,
d,312,17,9,,d,312,17,9,,,,,,,,,,,,,,,,,,
d,313,18,9,,d,313,18,9,,,,,,,,,,,,,,,,,,
d,314,17,9,,d,314,17,9,,,,,,,,,,,,,,,,,,
d,315,18,9,,d,315,18,9,,,,,,,,,,,,,,,,,,
d,316,16,9,,d,316,16,9,,,,,,,,,,,,,,,,,,
d,317,16,9,,d,317,16,9,,,,,,,,,,,,,,,,,,
d,318,17,20,,d,318,17,20,,,,,,,,,,,,,,,,,,
d,319,18,9,,d,319,18,9,,,,,,,,,,,,,,,,,,
d,320,10,9,,d,320,10,9,,,,,,,,,,,,,,,,,,
d,321,11,9,,d,321,11,9,,,,,,,,,,,,,,,,,,
d,322,11,9,,d,322,11,9,,,,,,,,,,,,,,,,,,
d,323,17,9,,d,323,17,9,,,,,,,,,,,,,,,,,,
d,324,17,10,,d,324,17,10,,,,,,,,,,,,,,,,,,
d,325,10,10,,d,325,10,10,,,,,,,,,,,,,,,,,,
d,326,16,10,,d,326,16,10,,,,,,,,,,,,,,,,,,
d,327,17,10,,d,327,17,10,,,,,,,,,,,,,,,,,,
d,328,17,9,,d,328,17,9,,,,,,,,,,,,,,,,,,
d,329,18,10,,d,329,18,10,,,,,,,,,,,,,,,,,,
d,330,18,10,,d,330,18,10,,,,,,,,,,,,,,,,,,
d,331,16,10,,d,331,16,10,,,,,,,,,,,,,,,,,,
d,332,16,10,,d,332,16,10,,,,,,,,,,,,,,,,,,
d,333,17,11,,d,333,17,11,,,,,,,,,,,,,,,,,,
d,334,17,10,,d,334,17,10,,,,,,,,,,,,,,,,,,
d,335,18,10,,d,335,18,10,,,,,,,,,,,,,,,,,,
d,336,19,10,,d,336,19,10,,,,,,,,,,,,,,,,,,
d,337,11,10,,d,337,11,10,,,,,,,,,,,,,,,,,,
d,338,17,10,,d,338,17,10,,,,,,,,,,,,,,,,,,
d,339,17,10,,d,339,17,10,,,,,,,,,,,,,,,,,,
d,340,10,10,,d,340,10,10,,,,,,,,,,,,,,,,,,
d,341,11,10,,d,341,11,10,,,,,,,,,,,,,,,,,,
d,342,11,11,,d,342,11,11,,,,,,,,,,,,,,,,,,
d,343,17,11,,d,343,17,11,,,,,,,,,,,,,,,,,,
d,344,18,10,,d,344,18,10,,,,,,,,,,,,,,,,,,
d,345,18,10,,d,345,18,10,,,,,,,,,,,,,,,,,,
d,346,16,10,,d,346,16,10,,,,,,,,,,,,,,,,,,
d,347,17,10,,d,347,17,10,,,,,,,,,,,,,,,,,,
d,348,17,10,,d,348,17,10,,,,,,,,,,,,,,,,,,
d,349,17,10,,d,349,17,10,,,,,,,,,,,,,,,,,,
d,350,18,10,,d,350,18,10,,,,,,,,,,,,,,,,,,
d,351,18,11,,d,351,18,11,,,,,,,,,,,,,,,,,,
d,352,19,10,,d,352,19,10,,,,,,,,,,,,,,,,,,
d,353,17,11,,d,353,17,11,,,,,,,,,,,,,,,,,,
d,354,17,11,,d,354,17,11,,,,,,,,,,,,,,,,,,
d,355,10,10,,d,355,10,10,,,,,,,,,,,,,,,,,,
d,356,11,10,,d,356,11,10,,,,,,,,,,,,,,,,,,
d,357,11,11,,d,357,11,11,,,,,,,,,,,,,,,,,,
d,358,12,11,,d,358,12,11,,,,,,,,,,,,,,,,,,
